metodo,aserciones,tests,promedio
getTurn,1331,1331,1
subAndCheck,3153,326,10
compare,4014,478,8
toBoolean,1109,1109,1
addChild,2366,177,13
insertRight,449,539,1
remove,461,555,1
maxExtent,1930,650,3
floor,3253,533,6
mod,3292,561,6
insert_r,1924,415,5
insert_s,1780,399,4
count,2891,496,6
extend,2857,491,6
remove,2211,399,6
clamp,1321,1321,1
copySignInt,3057,349,9
add,2044,457,4
getMax,3373,690,5
remove,3373,690,5
findmin,3016,208,15
a1,1165,462,3
sm,1230,478,3
dequeue,2549,454,6
dequeueAll,2605,459,6
enqueue,2134,400,5
getFront,1987,379,5
makeEmpty,1987,379,5
count,3135,584,5
extend,2742,517,5
item,2779,526,5
remove,2843,538,5
wipeOut,3111,581,5
abs,3159,474,7
addElementToSet,2219,472,5
getMin,3297,543,6
incrementNumberAtIndex,2401,809,3
makeEmpty,5800,812,7
pop,2008,400,5
push,2376,446,5
top,2042,406,5
topAndPop,2679,489,5
foo,976,591,2
setX,892,546,2
total,105321,23919,
promedio,2394,544,5
