metodo,propiedades
getTurn,0
subAndCheck,2
compare,12
toBoolean,0
addChild,42
insertRight,17
remove,12
maxExtent,27
floor,31
mod,46
insert_r,3
insert_s,2
count,3
extend,13
remove,6
clamp,13
copySignInt,4
add,31
getMax,18
remove,29
findmin,2
a1,89
sm,30
dequeue,8
dequeueAll,19
enqueue,61
getFront,9
makeEmpty,55
count,85
extend,67
item,31
remove,55
wipeOut,31
abs,20
addElementToSet,1
getMin,9
incrementNumberAtIndex,1
makeEmpty,14
pop,14
push,13
top,4
topAndPop,25
foo,2
setX,19
total,975
promedio,22
