subject,randoop,evosuite,daikon
Angle_getTurn,91,91,0
ArithmeticUtils_subAndCheck,17,50,12
BooleanUtils_compare,92,92,0
BooleanUtils_toBoolean,18,71,94
Envelope_maxExtent,59,59,59
FastMathNew_floor,55,55,33
IntMath_mod,84,79,68
MathUtil_clamp,82,82,0
MathUtilsNew_copySignInt,63,59,2
QueueAr_dequeue,13,17,13
QueueAr_dequeueAll,9,36,0
QueueAr_enqueue,14,29,7
QueueAr_getFront,18,36,9
QueueAr_makeEmpty,32,26,37
SimpleMethods_abs,94,94,89
SimpleMethods_addElementToSet,0,33,0
SimpleMethods_getMin,71,71,71
SimpleMethods_incrementNumberAtIndex,0,0,0
StackAr_makeEmpty,0,0,0
StackAr_pop,20,0,20
StackAr_push,0,0,0
StackAr_top,0,0,0
StackAr_topAndPop,17,17,17
composite_addChild,31,8,92
doublylinkedlistnode_insertRight,57,29,57
doublylinkedlistnode_remove,40,20,40
listcomp02_insert_r,0,75,6
listcomp02_insert_s,0,75,94
map_count,70,0,0
map_extend,82,77,36
map_remove,44,6,0
maxbag_add,0,21,94
maxbag_getMax,1,19,0
maxbag_remove,0,10,97
minFinder_findMin,0,0,0
polyupdate_a1,84,82,60
polyupdate_sm,83,79,23
ringbuffer_count,75,75,53
ringbuffer_extend,29,57,0
ringbuffer_item,27,9,0
ringbuffer_remove,46,50,4
ringbuffer_wipeOut,36,18,9
structure_foo,95,95,35
structure_setX,96,96,36
