subject,detected_mutants
Angle_getTurn,20
ArithmeticUtils_subAndCheck,19
BooleanUtils_compare,12
BooleanUtils_toBoolean,17
Envelope_maxExtent,33
FastMathNew_floor,23
IntMath_mod,18
MathUtil_clamp,9
MathUtilsNew_copySignInt,32
QueueAr_dequeue,52
QueueAr_dequeueAll,54
QueueAr_enqueue,52
QueueAr_getFront,52
QueueAr_makeEmpty,53
SimpleMethods_abs,19
SimpleMethods_addElementToSet,0
SimpleMethods_getMin,5
SimpleMethods_incrementNumberAtIndex,7
StackAr_makeEmpty,44
StackAr_pop,42
StackAr_push,44
StackAr_top,45
StackAr_topAndPop,44
composite_addChild,32
doublylinkedlistnode_insertRight,15
doublylinkedlistnode_remove,15
listcomp02_insert_r,4
listcomp02_insert_s,19
map_count,56
map_extend,56
map_remove,56
minFinder_findMin,69
polyupdate_a1,47
polyupdate_sm,48
ringbuffer_count,70
ringbuffer_extend,70
ringbuffer_item,70
ringbuffer_remove,70
ringbuffer_wipeOut,70
structure_foo,26
structure_setX,25
